,Bus,Count,OnOff,Latitude,Longitude,Route,Stop,CorrectStop,DateTime
0,2412,2,on,35.311954498,-80.733467102,Green,Wallis Hall W/Light Rail,Wallis Hall W,2019-11-13 06:28:19
1,2412,0,on,35.31025,-80.73619,Green,Belk Hall S,Belk Hall S,2019-11-13 06:28:34
2,2412,0,on,35.3079,-80.7348,Green,Woodward Hall East,Woodward Hall East,2019-11-13 06:28:49
3,2412,-2,off,35.308086395,-80.732681274,Green,Student Union E,Student Union E,2019-11-13 06:31:33
4,2412,0,on,35.3080314,-80.7304667,Green,Aux Services East,Aux Services East,2019-11-13 06:31:48
5,2412,0,on,35.307,-80.7295,Green,Fretwell S,Fretwell S,2019-11-13 06:32:03
6,2412,0,on,35.305107,-80.7283145,Green,Cato Hall S,Cato Hall S,2019-11-13 06:32:18
7,2412,0,on,35.30352,-80.72948,Green,Robinson Hall S,Robinson Hall S,2019-11-13 06:32:33
8,2412,0,on,35.3042998,-80.7326206,Green,Reese East,Reese East,2019-11-13 06:32:48
9,2412,0,on,35.30432,-80.735009,Green,Cone Deck W,Cone Deck W,2019-11-13 06:33:03
10,2412,0,on,35.3026439,-80.7377572,Green,Alumni Way E,Alumni Way E,2019-11-13 06:33:18
11,2412,1,on,35.301143646,-80.735694885,Green,South Village Deck,South Village Deck,2019-11-13 06:39:03
12,2412,-2,off,35.302108765,-80.732704163,Green,Levine Hall E,Levine Hall E,2019-11-13 06:40:18
13,2412,0,on,35.30337,-80.72945,Green,Robinson Hall N,Robinson Hall N,2019-11-13 06:40:33
14,2412,0,on,35.3050917,-80.7281563,Green,Cato Hall N,Cato Hall N,2019-11-13 06:40:48
15,2412,0,on,35.3075872,-80.7292483,Green,Fretwell N,Fretwell N,2019-11-13 06:41:03
16,2412,0,on,35.308998108,-80.729255676,Green,Hickory Hall North,Hickory Hall North,2019-11-13 06:41:18
17,2412,0,on,35.3107,-80.7293,Green,Student Health N,Student Health N,2019-11-13 06:41:33
18,2412,0,on,35.31166,-80.7304,Green,Student Health (Green) W,Student Health (Green) W,2019-11-13 06:41:48
