,Bus,Count,OnOff,Latitude,Longitude,Route,Stop,CorrectStop,DateTime
0,2407,1,on,35.308811188,-80.725120544,Silver,Lot 6,Lot 6,2019-11-13 06:15:59
1,2407,1,on,35.307224274,-80.725296021,Silver,Lot 5A,Lot 5A,2019-11-13 06:16:59
2,2407,1,on,35.306335449,-80.726768494,Silver,East Deck 2,East Deck 2,2019-11-13 06:17:39
3,2407,0,on,35.3075872,-80.7292483,Silver,Fretwell N,Fretwell N,2019-11-13 06:17:54
4,2407,3,off,35.308151245,-80.732704163,Silver,Student Union W,Student Union W,2019-11-13 06:19:51
5,2407,0,on,35.307468,-80.739724,Silver,Athletics Complex W,Athletics Complex W,2019-11-13 06:20:06
6,2407,0,on,35.309368,-80.741265,Silver,EPIC N,EPIC N,2019-11-13 06:20:21
7,2407,0,on,35.3109099,-80.7414292,Silver,Grigg Hall W,Grigg Hall W,2019-11-13 06:20:36
8,2407,0,on,35.3127712,-80.7408974,Silver,Motor Sports,Motor Sports,2019-11-13 06:20:51
9,2407,0,on,35.31106,-80.74313,Silver,Portal W,Portal W,2019-11-13 06:21:06
10,2407,0,on,35.3094,-80.7441,Silver,CRI Deck,CRI Deck,2019-11-13 06:21:21
11,2407,0,on,35.31164,-80.74249,Silver,PORTAL East,PORTAL East,2019-11-13 06:21:36
12,2407,0,on,35.31231,-80.74171,Silver,Duke Centennial Hall East,Duke Centennial Hall East,2019-11-13 06:21:51
13,2407,0,on,35.3110084,-80.7415284,Silver,Grigg Hall E,Grigg Hall E,2019-11-13 06:22:06
14,2407,0,on,35.309912,-80.741863,Silver,EPIC S,EPIC S,2019-11-13 06:22:21
15,2407,0,on,35.3074358,-80.7399452,Silver,Athletics Complex E,Athletics Complex E,2019-11-13 06:22:36
16,2407,0,on,35.3079,-80.7348,Silver,Woodward Hall East,Woodward Hall East,2019-11-13 06:22:51
17,2407,0,on,35.30809,-80.73272,Silver,Student Union E,Student Union E,2019-11-13 06:23:06
18,2407,0,on,35.3080314,-80.7304667,Silver,Aux Services East,Aux Services East,2019-11-13 06:23:21
19,2407,0,on,35.308998108,-80.729255676,Silver,Hickory Hall North,Hickory Hall North,2019-11-13 06:23:36
