,Stop,Latitude,Longitude
0,Wallis Hall E,35.3117,-80.733
1,Student Health E,35.31155,-80.73053
2,Hickory Hall South,35.309135437,-80.729370117
3,Fretwell S,35.307,-80.7295
4,Cato Hall S,35.3051070, -80.7283145
5,Robinson Hall S,35.30352,-80.72948
6,Levine Hall W,35.3019,-80.733
7,Hunt Hall,35.3012,-80.73562
8,Alumni Way W,35.3025,-80.7373
9,Cone Deck East,35.3042105, -80.7349259
10,Reese East,35.3042998, -80.7326206
11,Robinson Hall N,35.30337,-80.72945
12,Cato Hall N,35.3050917, -80.7281563
13,Fretwell N,35.3075872, -80.7292483
14,Student Union W,35.30813,-80.73268
15,Union Deck,35.3096306, -80.7363290
