,Stop,Latitude,Longitude
0,Wallis Hall W,35.312,-80.7335
1,Belk Hall S,35.31025,-80.73619
2,Student Union E,35.30809,-80.73272
3,Aux Services East,35.3080314, -80.7304667
4,Fretwell S,35.307,-80.7295
5,Cato Hall S,35.3051070, -80.7283145
6,Robinson Hall S,35.30352,-80.72948
7,Reese East,35.3042998, -80.7326206
8,Cone Deck W,35.3043200, -80.7350090
9,Alumni Way E,35.3026439, -80.7377572
10,South Village Deck,35.30113,-80.7357
11,Robinson Hall N,35.30337,-80.72945
12,Cato Hall N,35.3050917, -80.7281563
13,Fretwell N,35.3075872, -80.7292483
14,Hickory Hall North,35.308998108,-80.729255676
15,Student Health N,35.3107,-80.7293
16,Student Health (Green) W,35.31166,-80.7304
17,North Deck,35.3134338, -80.7319048
