,Stop,Latitude,Longitude
0,Lot 6,35.3088015, -80.725095
1,Lot 5A,35.3072,-80.7252
2,East Deck 2,35.3063,-80.7268
3,Fretwell N,35.3075872, -80.7292483
4,Student Union W,35.30813,-80.73268
5,Athletics Complex W,35.307468, -80.739724
6,EPIC N,35.309368, -80.741265
7,Grigg Hall W,35.3109099, -80.7414292
8,Motor Sports,35.3127712, -80.7408974
9,Portal W,35.31106,-80.74313
10,CRI Deck,35.3094,-80.7441
11,PORTAL East,35.31164,-80.74249
12,Grigg Hall E,35.3110084, -80.7415284
13,EPIC S,35.309912, -80.741863
14,Athletics Complex E,35.3074358, -80.7399452
15,Woodward Hall East,35.3079,-80.7348
16,Student Union E,35.30809,-80.73272
17,Aux Services East,35.3080314, -80.7304667
18,Hickory Hall North,35.308998108,-80.729255676
19,Student Health N,35.3107,-80.7293
20,Martin Hall,35.310244, -80.726491
