,Stop,Latitude,Longitude
1,Lot 6,35.3088015, -80.725095
2,Lot 5A,35.3072,-80.7252
3,East Deck 2,35.3063,-80.7268
4,Fretwell N,35.3074,-80.7295
5,Student Union W,35.30813,-80.73268
6,Athletics Complex W,35.307468, -80.739724
7,EPIC N,35.309368, -80.741265
8,Grigg Hall W,35.31091,-80.74146
9,Motor Sports,35.3126,-80.7413
10,Portal W,35.31106,-80.74313
11,CRI Deck,35.3094,-80.7441
12,PORTAL East,35.31164,-80.74249
13,Grigg Hall E,35.31102,-80.74141
14,EPIC S,35.309912, -80.741863
15,Athletics Complex E,35.3074213,-80.7398642
16,Woodward Hall East,35.3079,-80.7348
17,Student Union E,35.30809,-80.73272
18,Aux Services East,35.3081,-80.7306
19,Hickory Hall North,35.308998108,-80.729255676
20,Student Health N,35.3107,-80.7293
21,Martin Hall,35.310244, -80.726491
