,Stop,Latitude,Longitude
0,Alumni Way E,35.3026439, -80.7377572
1,Alumni Way W,35.3025,-80.7373
2,Athletics Complex E,35.3074358, -80.7399452
3,Athletics Complex W,35.307468, -80.739724
4,Aux Services East,35.3080314, -80.7304667
5,Belk Hall S,35.31025,-80.73619
6,CRI Deck,35.3094,-80.7441
7,Cato Hall N,35.3050917, -80.7281563
8,Cato Hall S,35.3051070, -80.7283145
9,Cone Deck East,35.3042105, -80.7349259
10,Cone Deck W,35.3043200, -80.7350090
11,Duke Centennial Hall East,35.31231,-80.74171
12,EPIC N,35.309368, -80.741265
13,EPIC S,35.309912, -80.741863
14,East Deck 2,35.3063,-80.7268
15,Fretwell N,35.3075872, -80.7292483
16,Fretwell S,35.307,-80.7295
17,Grigg Hall E,35.3110084, -80.7415284
18,Grigg Hall W,35.3109099, -80.7414292
19,Hickory Hall North,35.308998108,-80.729255676
20,Hickory Hall South,35.309135437,-80.729370117
21,Hunt Hall,35.3012,-80.73562
22,Levine Hall E,35.3021,-80.7327
23,Levine Hall W,35.3019,-80.733
24,Lot 5A,35.3072,-80.7252
25,Lot 6,35.3088015, -80.725095
26,Martin Hall,35.310244, -80.726491
27,Motor Sports,35.3127712, -80.7408974
28,North Deck,35.3134338, -80.7319048
29,PORTAL East,35.3116088, -80.7424237
30,Portal W,35.31106,-80.74313
31,Reese East,35.3042998, -80.7326206
32,Robinson Hall N,35.30337,-80.72945
33,Robinson Hall S,35.30352,-80.72948
34,South Village Deck,35.30113,-80.7357
35,Student Health (Green) W,35.31166,-80.7304
36,Student Health E,35.31155,-80.73053
37,Student Health N,35.3107,-80.7293
38,Student Union E,35.30809,-80.73272
39,Student Union W,35.30813,-80.73268
40,Union Deck,35.3096306, -80.7363290
41,Wallis Hall E,35.3117,-80.733
42,Wallis Hall W,35.312,-80.7335
43,Woodward Hall East,35.3079,-80.7348
