Date,Time,Bus,Count,On off,Latitude,Longitude,Route,Stop
11/13/2019,6:13:47,2403,1,off,35.306957245,-80.729568481,Gold,Fretwell S
11/13/2019,6:15:08,2401,1,off,35.308052063,-80.732757568,Green,Student Union E
11/13/2019,6:15:14,2401,1,on,35.308052063,-80.732757568,Green,Student Union E
11/13/2019,6:15:59,2407,1,on,35.308811188,-80.725120544,Silver,Lot 6
11/13/2019,6:16:59,2407,1,on,35.307224274,-80.725296021,Silver,Lot 5A
11/13/2019,6:17:39,2403,2,on,35.301273346,-80.735664368,Gold,Hunt Hall
11/13/2019,6:17:39,2407,1,on,35.306335449,-80.726768494,Silver,East Deck 2
11/13/2019,6:19:24,2408,3,on,35.311725616,-80.733055115,Gold,Wallis Hall E/Light Rail
11/13/2019,6:19:51,2407,3,off,35.308151245,-80.732704163,Silver,Student Union W
11/13/2019,6:20:54,2408,1,on,35.311725616,-80.733055115,Gold,Wallis Hall E/Light Rail
11/13/2019,6:22:21,2403,1,on,35.305080414,-80.728210449,Gold,Cato Hall N
11/13/2019,6:23:20,2408,1,off,35.306999207,-80.729515076,Gold,Fretwell S
11/13/2019,6:24:18,2403,3,off,35.30815506,-80.732536316,Gold,Student Union W
11/13/2019,6:24:30,2407,1,on,35.308135986,-80.732696533,Silver,Student Union W
11/13/2019,6:24:32,2408,1,off,35.305114746,-80.728263855,Gold,Cato Hall S
11/13/2019,6:25:16,2408,1,off,35.303531647,-80.729492188,Gold,Robinson Hall S
11/13/2019,6:27:16,2406,1,off,35.301113129,-80.735740662,Green,South Village Deck
11/13/2019,6:27:16,2408,1,off,35.301204681,-80.735626221,Gold,Hunt Hall
11/13/2019,6:27:56,2401,1,on,35.302085876,-80.73274231,Green,Levine Hall E
11/13/2019,6:28:19,2412,2,on,35.311954498,-80.733467102,Green,Wallis Hall W/Light Rail
11/13/2019,6:30:10,2406,1,on,35.301113129,-80.735740662,Green,South Village Deck
11/13/2019,6:30:18,2407,1,on,35.309432983,-80.744056702,Silver,CRI Deck
11/13/2019,6:30:20,2407,2,off,35.309429169,-80.744049072,Silver,CRI Deck
11/13/2019,6:31:33,2412,2,off,35.308086395,-80.732681274,Green,Student Union E
11/13/2019,6:31:36,2407,1,on,35.311668396,-80.742462158,Silver,PORTAL East
11/13/2019,6:31:44,2401,2,on,35.307575226,-80.729324341,Green,Fretwell N
11/13/2019,6:32:14,2407,2,on,35.312351227,-80.741737366,Silver,Duke Centennial Hall East
11/13/2019,6:33:10,2401,1,off,35.310718536,-80.729278564,Green,Student Health N
11/13/2019,6:34:02,2401,1,off,35.311634064,-80.730377197,Green,Student Health (Green) W
11/13/2019,6:35:06,2401,1,off,35.313545227,-80.731872559,Green,North Deck
11/13/2019,6:36:35,2406,1,on,35.305107117,-80.728218079,Green,Cato Hall N
11/13/2019,6:37:32,2407,4,off,35.308101654,-80.732810974,Silver,Student Union E
11/13/2019,6:38:34,2401,2,on,35.311988831,-80.733421326,Green,Wallis Hall W/Light Rail
