,Date,Time,Bus,Count,On off,Latitude,Longitude,Route,Stop
319444,11/1/2018,0:03:05,2402,1,on,35.30792618,-80.73470306,Silver,Woodward Hall East
319447,11/1/2018,0:04:49,2402,7,on,35.30804443,-80.73271179,Silver,Student Union E
319451,11/1/2018,0:07:33,2402,4,off,35.31027603,-80.72667694,Silver,Martin Hall
319456,11/1/2018,0:10:24,2402,1,on,35.30638504,-80.72673798,Silver,Lot 5A
319457,11/1/2018,0:10:26,2402,11,off,35.30638504,-80.72673798,Silver,Lot 5A
319463,11/1/2018,0:13:04,2402,3,on,35.30812836,-80.73264313,Silver,Student Union W
319467,11/1/2018,0:15:28,2402,1,on,35.30931091,-80.74136353,Silver,Athletics Complex W
319468,11/1/2018,0:17:06,2402,2,off,35.3127594,-80.74095154,Silver,Motor Sports
319470,11/1/2018,0:18:40,2402,2,off,35.30958176,-80.74461365,Silver,CRI Deck
319471,11/1/2018,0:19:32,2402,1,on,35.30941773,-80.74407196,Silver,CRI Deck
319476,11/1/2018,0:23:08,2402,1,on,35.30740738,-80.73979187,Silver,Athletics Complex E
319483,11/1/2018,0:28:44,2402,1,off,35.30882263,-80.72505188,Silver,Lot 6
319485,11/1/2018,0:29:54,2402,1,on,35.30718994,-80.72520447,Silver,Lot 5A
319486,11/1/2018,0:30:00,2402,2,off,35.30718994,-80.72520447,Silver,Lot 5A
319489,11/1/2018,0:31:44,2402,1,off,35.30755615,-80.72930145,Silver,Fretwell N
319504,11/1/2018,0:39:21,2402,4,on,35.30934906,-80.74410248,Silver,CRI Deck
319505,11/1/2018,0:39:25,2402,2,off,35.30934906,-80.74410248,Silver,CRI Deck
319507,11/1/2018,0:41:09,2402,1,on,35.30934906,-80.74410248,Silver,CRI Deck
319512,11/1/2018,0:44:09,2402,1,on,35.30991745,-80.74185181,Silver,EPIC N
319517,11/1/2018,0:46:53,2402,1,off,35.30806351,-80.73272705,Silver,Student Union E
319518,11/1/2018,0:47:05,2402,5,on,35.30806351,-80.73272705,Silver,Student Union E
319522,11/1/2018,0:49:31,2402,1,off,35.31032944,-80.72665405,Silver,Martin Hall
319525,11/1/2018,0:50:33,2402,7,off,35.308815,-80.72506714,Silver,Lot 6
319527,11/1/2018,0:51:55,2402,1,on,35.30718994,-80.7252121,Silver,Lot 5A
319528,11/1/2018,0:51:55,2402,1,off,35.30718994,-80.7252121,Silver,Lot 5A
319546,11/1/2018,1:08:00,2402,1,on,35.30798721,-80.73477936,Silver,Woodward Hall East
319547,11/1/2018,1:09:04,2402,2,on,35.30809021,-80.73278046,Silver,Student Union E
