,Date,Time,Bus,Count,On off,Latitude,Longitude,Route,Stop,CorrectStop
59,11/13/2019,6:53:49,2402,1,off,35.309925079,-80.741851807,Silver,EPIC N,EPIC S
61,11/13/2019,6:53:51,2402,1,on,35.309925079,-80.741851807,Silver,EPIC N,EPIC S
70,11/13/2019,6:58:48,2407,1,on,35.309871674,-80.741836548,Silver,EPIC N,EPIC S
100,11/13/2019,7:08:08,2409,1,on,35.30991745,-80.741874695,Silver,EPIC N,EPIC S
121,11/13/2019,7:15:26,2410,1,off,35.307945251,-80.734840393,Silver,CRI Deck,Woodward Hall East
129,11/13/2019,7:16:52,2410,1,on,35.308105469,-80.732788086,Silver,CRI Deck,Student Union E
130,11/13/2019,7:17:36,2410,6,off,35.308094025,-80.732795715,Silver,CRI Deck,Student Union E
146,11/13/2019,7:21:48,2410,4,on,35.308818817,-80.725097656,Silver,CRI Deck,Lot 6
149,11/13/2019,7:23:28,2410,1,on,35.306358337,-80.726844788,Silver,CRI Deck,East Deck 2
154,11/13/2019,7:24:42,2410,3,off,35.307559967,-80.729301453,Silver,CRI Deck,Fretwell N
160,11/13/2019,7:25:48,2410,1,on,35.308197021,-80.732627869,Silver,CRI Deck,Student Union W
162,11/13/2019,7:25:54,2410,2,off,35.308193207,-80.732627869,Silver,CRI Deck,Student Union W
180,11/13/2019,7:29:45,2410,1,off,35.309402466,-80.741333008,Silver,CRI Deck,EPIC S
199,11/13/2019,7:33:57,2410,2,on,35.309436798,-80.74407959,Silver,PORTAL East,CRI Deck
216,11/13/2019,7:36:57,2410,3,on,35.312320709,-80.741737366,Silver,CRI Deck,Duke Centennial Hall East
226,11/13/2019,7:38:55,2410,2,on,35.309928894,-80.741867065,Silver,CRI Deck,EPIC S
240,11/13/2019,7:41:41,2410,1,on,35.30809021,-80.732780457,Silver,CRI Deck,Student Union E
245,11/13/2019,7:42:41,2410,8,off,35.308135986,-80.730445862,Silver,CRI Deck,Aux Services East
261,11/13/2019,7:46:07,2410,19,on,35.308807373,-80.725097656,Silver,CRI Deck,Lot 6
266,11/13/2019,7:47:14,2402,1,off,35.309883118,-80.741836548,Silver,EPIC N,EPIC S
269,11/13/2019,7:47:33,2410,6,on,35.307231903,-80.725265503,Silver,CRI Deck,Lot 5A
271,11/13/2019,7:48:11,2410,2,off,35.306362152,-80.726745605,Silver,CRI Deck,East Deck 2
277,11/13/2019,7:49:45,2410,1,on,35.307514191,-80.729385376,Silver,CRI Deck,Fretwell N
279,11/13/2019,7:49:47,2410,6,off,35.307514191,-80.729385376,Silver,CRI Deck,Fretwell N
290,11/13/2019,7:51:27,2410,15,off,35.308181763,-80.732650757,Silver,CRI Deck,Student Union W
292,11/13/2019,7:51:37,2410,3,on,35.308181763,-80.732658386,Silver,CRI Deck,Student Union W
302,11/13/2019,7:53:33,2407,1,on,35.309921265,-80.741851807,Silver,EPIC N,EPIC S
308,11/13/2019,7:55:39,2410,5,off,35.310894012,-80.741500854,Silver,CRI Deck,Grigg Hall W
316,11/13/2019,7:56:45,2410,1,off,35.31300354,-80.741127014,Silver,CRI Deck,Motor Sports
324,11/13/2019,7:58:23,2409,2,on,35.309890747,-80.741836548,Silver,EPIC N,EPIC S
327,11/13/2019,7:59:17,2410,1,off,35.309436798,-80.744033813,Silver,PORTAL East,CRI Deck
