,Date,Time,Bus,Count,On off,Latitude,Longitude,Route,Stop,CorrectStop,CorrectStop
0,11/13/2019,6:13:47,2403,1,off,35.30696,-80.72957,Gold,Fretwell S,,
1,11/13/2019,6:15:08,2401,1,off,35.30805,-80.73276,Green,Student Union E,,
2,11/13/2019,6:15:14,2401,1,on,35.30805,-80.73276,Green,Student Union E,,
3,11/13/2019,6:15:59,2407,1,on,35.30881,-80.72512,Silver,Lot 6,,
4,11/13/2019,6:16:59,2407,1,on,35.30722,-80.7253,Silver,Lot 5A,,
5,11/13/2019,6:17:39,2403,2,on,35.30127,-80.73566,Gold,Hunt Hall,,
6,11/13/2019,6:17:39,2407,1,on,35.30634,-80.72677,Silver,East Deck 2,,
7,11/13/2019,6:19:24,2408,3,on,35.31173,-80.73306,Gold,Wallis Hall E/Light Rail,,
8,11/13/2019,6:19:51,2407,3,off,35.30815,-80.7327,Silver,Student Union W,,
9,11/13/2019,6:20:54,2408,1,on,35.31173,-80.73306,Gold,Wallis Hall E/Light Rail,,
10,11/13/2019,6:22:21,2403,1,on,35.30508,-80.72821,Gold,Cato Hall N,,
11,11/13/2019,6:23:20,2408,1,off,35.307,-80.72952,Gold,Fretwell S,,
12,11/13/2019,6:24:18,2403,3,off,35.30816,-80.73254,Gold,Student Union W,,
13,11/13/2019,6:24:30,2407,1,on,35.30814,-80.7327,Silver,Student Union W,,
14,11/13/2019,6:24:32,2408,1,off,35.30511,-80.72826,Gold,Cato Hall S,,
15,11/13/2019,6:25:16,2408,1,off,35.30353,-80.72949,Gold,Robinson Hall S,,
16,11/13/2019,6:27:16,2406,1,off,35.30111,-80.73574,Green,South Village Deck,,
17,11/13/2019,6:27:16,2408,1,off,35.3012,-80.73563,Gold,Hunt Hall,,
18,11/13/2019,6:27:56,2401,1,on,35.30209,-80.73274,Green,Levine Hall E,,
19,11/13/2019,6:28:19,2412,2,on,35.31195,-80.73347,Green,Wallis Hall W/Light Rail,,
20,11/13/2019,6:30:10,2406,1,on,35.30111,-80.73574,Green,South Village Deck,,
21,11/13/2019,6:30:18,2407,1,on,35.30943,-80.74406,Silver,CRI Deck,,
22,11/13/2019,6:30:20,2407,2,off,35.30943,-80.74405,Silver,CRI Deck,,
23,11/13/2019,6:31:33,2412,2,off,35.30809,-80.73268,Green,Student Union E,,
24,11/13/2019,6:31:36,2407,1,on,35.31167,-80.74246,Silver,PORTAL East,,
25,11/13/2019,6:31:44,2401,2,on,35.30758,-80.72932,Green,Fretwell N,,
26,11/13/2019,6:32:14,2407,2,on,35.31235,-80.74174,Silver,Duke Centennial Hall East,,
27,11/13/2019,6:33:10,2401,1,off,35.31072,-80.72928,Green,Student Health N,,
28,11/13/2019,6:34:02,2401,1,off,35.31163,-80.73038,Green,Student Health (Green) W,,
29,11/13/2019,6:35:06,2401,1,off,35.31355,-80.73187,Green,North Deck,,
30,11/13/2019,6:36:35,2406,1,on,35.30511,-80.72822,Green,Cato Hall N,,
31,11/13/2019,6:37:32,2407,4,off,35.3081,-80.73281,Silver,Student Union E,,
32,11/13/2019,6:38:34,2401,2,on,35.31199,-80.73342,Green,Wallis Hall W/Light Rail,,
33,11/13/2019,6:39:03,2412,1,on,35.30114,-80.73569,Green,South Village Deck,,
34,11/13/2019,6:39:53,2406,1,off,35.31356,-80.73186,Green,North Deck,,
35,11/13/2019,6:40:18,2412,2,off,35.30211,-80.7327,Green,Levine Hall E,,
36,11/13/2019,6:41:30,2407,2,on,35.31032,-80.72668,Silver,Martin Hall,,
37,11/13/2019,6:42:28,2407,2,on,35.30881,-80.72506,Silver,Lot 6,,
38,11/13/2019,6:43:00,2408,1,on,35.30512,-80.72829,Gold,Cato Hall S,,
39,11/13/2019,6:43:30,2407,1,on,35.3072,-80.72529,Silver,Lot 5A,,
40,11/13/2019,6:44:52,2408,1,off,35.30199,-80.73303,Gold,Levine Hall W,,
41,11/13/2019,6:45:04,2407,1,off,35.30762,-80.72935,Silver,Fretwell N,,
42,11/13/2019,6:45:54,2408,1,on,35.30123,-80.7356,Gold,Hunt Hall,,
43,11/13/2019,6:46:18,2407,2,off,35.30817,-80.73266,Silver,Student Union W,,
44,11/13/2019,6:47:49,2401,1,off,35.30441,-80.73273,Green,Reese East,,
45,11/13/2019,6:48:12,2407,1,on,35.30816,-80.73268,Silver,Student Union W,,
46,11/13/2019,6:48:17,2406,1,on,35.30699,-80.72952,Green,Fretwell S,,
47,11/13/2019,6:48:22,2407,1,off,35.30816,-80.73268,Silver,Student Union W,,
